"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"afr::eth::afar::zone4::ewa-2019-09-09-2019-11-03",TRUE,TRUE,TRUE,FALSE,FALSE,"larger",29209,36500,"2019-08-01"
"afr::ssd::northernliech::rubkona::bentiutown-2016-11-21-2017-01-01",FALSE,TRUE,TRUE,FALSE,FALSE,"larger",71214,69757,"2015-06-22"
"afr::ssd::unity::rubkona-2016-11-07-2017-03-19",FALSE,TRUE,TRUE,FALSE,FALSE,"same",71214,69757,"2015-06-22"
"afr::cod::nordkivu::gomahealthdistrict-2019-06-24-2020-01-26",TRUE,TRUE,TRUE,FALSE,FALSE,"same",107459,97547,"2019-05-28"
"afr::mwi::southern::nsanje-2017-02-27-2017-04-02",FALSE,TRUE,TRUE,FALSE,FALSE,"same",108440,159978,"2015-04-20"
"afr::mwi::central::salima-2018-01-21-2018-04-14",TRUE,TRUE,TRUE,FALSE,FALSE,"same",110511,108533,"2017-12-11"
"afr::mwi::central::salima-2018-01-21-2018-04-14",TRUE,TRUE,TRUE,FALSE,FALSE,"same",115672,108533,"2017-11-20"
"afr::mwi::southern::nsanje-2017-02-27-2017-04-02",FALSE,TRUE,TRUE,FALSE,FALSE,"same",156592,159978,"2015-04-04"
"afr::moz::nampula-2017-10-09-2018-01-07",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",208734,193403,"2016-10-24"
"afr::moz::nampula-2017-10-09-2018-01-07",FALSE,TRUE,TRUE,FALSE,FALSE,"smaller",209561,193403,"2016-10-03"
"afr::zmb::lusaka-2017-12-04-2018-02-04",FALSE,TRUE,TRUE,FALSE,FALSE,"smaller",423744,543755,"2016-04-09"
"afr::zmb::lusaka::lusaka-2017-12-04-2018-02-04",FALSE,TRUE,TRUE,FALSE,FALSE,"same",423744,543755,"2016-04-09"
"afr::zmb::lusaka-2017-12-04-2018-02-04",TRUE,TRUE,TRUE,FALSE,FALSE,"smaller",437143,421548,"2016-12-16"
"afr::zmb::lusaka::lusaka-2017-12-04-2018-02-04",TRUE,TRUE,TRUE,FALSE,FALSE,"same",437143,421548,"2016-12-16"
