ID_outbreak,OCV_before_1,OCV_before_2,OCV_before_3,OCV_during,OCV_after_1,spatial_scale,Num_doses,Target_pop,Start_date
afr::ssd::jonglei::borsouth-2016-09-05-2016-10-16,NA,NA,NA,NA,NA,same,2904.5,3273,
afr::ssd::jonglei::borsouth-2017-01-30-2017-03-26,NA,NA,NA,NA,NA,same,2904.5,3273,
afr::ssd::jonglei::borsouth-2016-09-05-2016-10-16,NA,NA,NA,NA,NA,same,2904.5,3273,
afr::ssd::jonglei::borsouth-2017-01-30-2017-03-26,NA,NA,NA,NA,NA,same,2904.5,3273,
afr::gin::kindia::coyah-2012-07-29-2012-10-20,FALSE,FALSE,FALSE,FALSE,FALSE,same,3698,4176,2014-05-11
afr::gin::kindia::coyah-2012-07-29-2012-10-20,FALSE,FALSE,FALSE,FALSE,FALSE,same,3698,4176,2014-05-28
afr::gin::kindia::dubreka-2012-07-29-2012-11-10,FALSE,FALSE,FALSE,FALSE,FALSE,same,3901,4118,2014-05-11
afr::gin::kindia::dubreka-2013-09-24-2013-10-28,FALSE,FALSE,FALSE,FALSE,FALSE,same,3901,4118,2014-05-11
afr::gin::kindia::dubreka-2012-07-29-2012-11-10,FALSE,FALSE,FALSE,FALSE,FALSE,same,3901,4118,2014-05-28
afr::gin::kindia::dubreka-2013-09-24-2013-10-28,FALSE,FALSE,FALSE,FALSE,FALSE,same,3901,4118,2014-05-28
afr::cod::sudkivu::minovahealthdistrict-2010-10-25-2011-01-23,NA,NA,NA,NA,NA,same,7901,144097,
afr::cod::sudkivu::minovahealthdistrict-2017-07-31-2018-03-04,NA,NA,NA,NA,NA,same,7901,144097,
afr::cod::sudkivu::minovahealthdistrict-2012-08-27-2013-01-27,NA,NA,NA,NA,NA,same,7901,144097,
afr::cod::sudkivu::minovahealthdistrict-2013-04-22-2013-06-09,NA,NA,NA,NA,NA,same,7901,144097,
afr::cod::sudkivu::minovahealthdistrict-2013-09-02-2014-07-27,NA,NA,NA,NA,NA,same,7901,144097,
afr::cod::sudkivu::minovahealthdistrict-2014-10-20-2014-12-07,NA,NA,NA,NA,NA,same,7901,144097,
afr::mwi::southern::nsanje-2017-02-27-2017-04-02,FALSE,FALSE,FALSE,FALSE,FALSE,same,15000,170000,2017-07-24
afr::cod::sudkivu::nunduhealthdistrict-2010-01-25-2010-03-14,NA,NA,NA,NA,NA,same,16348,165628,
afr::cod::sudkivu::nunduhealthdistrict-2010-08-30-2011-06-26,NA,NA,NA,NA,NA,same,16348,165628,
afr::cod::sudkivu::nunduhealthdistrict-2012-03-12-2012-04-15,NA,NA,NA,NA,NA,same,16348,165628,
afr::cod::sudkivu::nunduhealthdistrict-2012-11-26-2013-05-19,NA,NA,NA,NA,NA,same,16348,165628,
afr::cod::sudkivu::nunduhealthdistrict-2013-12-23-2014-02-16,NA,NA,NA,NA,NA,same,16348,165628,
afr::cod::sudkivu::nunduhealthdistrict-2014-11-17-2015-03-22,NA,NA,NA,NA,NA,same,16348,165628,
afr::cod::sudkivu::nunduhealthdistrict-2018-02-05-2018-04-29,NA,NA,NA,NA,NA,same,16348,165628,
afr::cmr::farnorth::hinahealthdistrict-2010-06-28-2010-11-28,FALSE,FALSE,FALSE,FALSE,FALSE,same,18329,18329.2635,2019-08-01
afr::cmr::farnorth::hinahealthdistrict-2014-06-23-2014-11-16,FALSE,FALSE,FALSE,FALSE,FALSE,same,18329,18329.2635,2019-08-01
afr::mwi::southern::phalombe-2012-07-29-2012-09-01,FALSE,FALSE,FALSE,FALSE,FALSE,same,18447,23855,2016-02-16
afr::cod::nordkivu::kirotshehealthdistrict-2010-10-18-2011-02-20,FALSE,FALSE,FALSE,FALSE,FALSE,same,19295,19090,2020-01-15
afr::cod::nordkivu::kirotshehealthdistrict-2011-08-29-2012-03-25,FALSE,FALSE,FALSE,FALSE,FALSE,same,19295,19090,2020-01-15
afr::cod::nordkivu::kirotshehealthdistrict-2012-11-26-2013-05-19,FALSE,FALSE,FALSE,FALSE,FALSE,same,19295,19090,2020-01-15
afr::cod::nordkivu::kirotshehealthdistrict-2013-09-09-2014-02-16,FALSE,FALSE,FALSE,FALSE,FALSE,same,19295,19090,2020-01-15
afr::cod::nordkivu::kirotshehealthdistrict-2017-07-31-2018-02-18,FALSE,FALSE,FALSE,FALSE,FALSE,same,19295,19090,2020-01-15
afr::cod::nordkivu::kibuahealthdistrict-2017-11-13-2018-06-03,FALSE,FALSE,FALSE,FALSE,FALSE,same,19479,20095,2020-01-17
afr::mwi::southern::phalombe-2012-07-29-2012-09-01,FALSE,FALSE,FALSE,FALSE,FALSE,same,20583,23855,2016-03-08
afr::ssd::centralequatoria::juba-2014-05-12-2014-08-10,NA,NA,NA,NA,NA,same,21628.5,28576,
afr::ssd::centralequatoria::juba-2015-06-08-2015-09-13,NA,NA,NA,NA,NA,same,21628.5,28576,
afr::ssd::centralequatoria::juba-2016-07-11-2016-10-09,NA,NA,NA,NA,NA,same,21628.5,28576,
afr::ssd::centralequatoria::juba-2014-05-12-2014-08-10,NA,NA,NA,NA,NA,same,21628.5,28576,
afr::ssd::centralequatoria::juba-2015-06-08-2015-09-13,NA,NA,NA,NA,NA,same,21628.5,28576,
afr::ssd::centralequatoria::juba-2016-07-11-2016-10-09,NA,NA,NA,NA,NA,same,21628.5,28576,
afr::cod::nordkivu::mwesohealthdistrict-2017-10-09-2017-12-10,FALSE,FALSE,FALSE,FALSE,FALSE,same,23000,22994,2020-01-15
